"Source","Destination","Relation"
"JetSynthesys","IT Services and IT Consulting","""type of company"""
"zimbra","Software Development","""type of company"""
"Nordstrom","Retail","""type of company"""
"Infobeans","IT Services and IT Consulting","""type of company"""
"MediaOcean","Software Development","""type of company"""
"APTECH","Education Administration Programs","""type of company"""
"IPSOS","Market Research","""type of company"""
"Aetna","Wellness and Fitness Services","""type of company"""
"NEC","IT Services and IT Consulting","""type of company"""
"JACADA","Software Development","""type of company"""
"Unisys","IT Services and IT Consulting","""type of company"""
"KARVY","Financial Services","""type of company"""
"PepsiCo","Food and Beverage Services","""type of company"""
"WellPoint","Insurance","""type of company"""
"Anthem","Insurance","""type of company"""
"Fiserv","IT Services and IT Consulting","""type of company"""
"MindProSoft","IT Services and IT Consulting","""type of company"""
"Creospan","IT Services and IT Consulting","""type of company"""
"Serene","Hospitality","""type of company"""
"Magna","Advertising Services","""type of company"""
"FIS","IT Services and IT Consulting","""type of company"""
"CGI","IT Services and IT Consulting","""type of company"""
"SumaSoft","Accounting","""type of company"""
"HGST","Architecture and Planning","""type of company"""
"Delmon","Retail","""type of company"""
"IGB","Asperg, Baden-W��rttemberg","""type of company"""
"Saint-Gobain","Wholesale Building Materials","""type of company"""
"Aptify","Software Development","""type of company"""
"Linkedin","Technology, Information and Internet","""type of company"""
"Qualcomm","Wireless Services","""type of company"""
"Virtusa","IT Services and IT Consulting","""type of company"""
"SingTel","Telecommunications","""type of company"""
"Innoplexus","IT Services and IT Consulting","""type of company"""
"Saba","Software Development","""type of company"""
"Click2Mail","Advertising Services","""type of company"""
"HCS","Human Resources Services","""type of company"""
"Delloite","Audit ,Consulting and Financial Advisory,Tax Services","""type of company"""
"R-interactive","Advertising services","""type of company"""
"HAPPIESTMINDS","IT Services and IT Consulting","""type of company"""
"Metalogix","Medical Equipment Manufacturing","""type of company"""
"McGraw-Hill","Consumer Services","""type of company"""
"Leantaas","Technology, Information and Internet","""type of company"""
"SuperValu","Wholesale","""type of company"""
"Telephonica","Telecommunications","""type of company"""
"MTN","Telecommunications","""type of company"""
"GE","Industrial Machinery Manufacturing","""type of company"""
"DELL","IT Services and IT Consulting","""type of company"""
"AJG","Security and Investigations","""type of company"""
"Allianz","Financial Services","""type of company"""
"AGCS","IT Services and IT Consulting","""type of company"""
"OSSCube","Software Development","""type of company"""
"Genpact","IT Services and IT Consulting","""type of company"""
"eBay","Technology, Information and Internet","""type of company"""
"lagnam","IT Services and IT Consulting","""type of company"""
"Nvidia","Computer Hardware Manufacturing","""type of company"""
"Talentica","Software Development","""type of company"""
"Wcities","Technology, Information and Internet","""type of company"""
"MMC","Executive Offices","""type of company"""
"Tikit","IT Services and IT Consulting","""type of company"""
"Emirates","Airlines and Aviation","""type of company"""
"Toyota","Motor Vehicle Manufacturing","""type of company"""
"DBS","IT Services and IT Consulting","""type of company"""
"Nedbank","Financial Services","""type of company"""
"Fedex","Freight and Package Transportation","""type of company"""
"Aricent","Software Development","""type of company"""
"ABB","Appliances, Electrical, and Electronics Manufacturing","""type of company"""
"Loylogic","Advertising Services","""type of company"""
"PTC","Software Development","""type of company"""
"UGB","Higher Education","""type of company"""
"METRICSTREAM","Software Development","""type of company"""
"Puda","Construction","""type of company"""
"Enexion","Utilities","""type of company"""
"Rexel","Wholesale","""type of company"""
"Renault","Motor Vehicle Manufacturing","""type of company"""
"Nokia","Telecommunications","""type of company"""
"3DPLM","IT Services and IT Consulting","""type of company"""
"Pegasus","Entertainment Providers","""type of company"""
"Datamatics","IT Services and IT Consulting","""type of company"""
"EY","Accounting","""type of company"""
"Emerson","Industrial Machinery Manufacturing","""type of company"""
"Weblabz","IT Services and IT Consulting","""type of company"""
"Zymr","IT Services and IT Consulting","""type of company"""
"Harman","Food and Beverage Manufacturing","""type of company"""
"Dealertrack","Software Development","""type of company"""
"Spintel","Telecommunications","""type of company"""
"InfoSolutions","Software Development","""type of company"""
"Headstrong","IT Services and IT Consulting","""type of company"""
"Markit","Information Services","""type of company"""
"MGL","Construction","""type of company"""
"PROVAB","IT Services and IT Consulting","""type of company"""
"Neotel","Appliances, Electrical, and Electronics Manufacturing","""type of company"""
"Invensys","Automation Machinery Manufacturing","""type of company"""
"Knowledgent","IT Services and IT Consulting","""type of company"""
"CommonApp","Higher Education","""type of company"""
"Electrolux","Manufacturing","""type of company"""
"3i-Infotech","IT Services and IT Consulting","""type of company"""
"A&E","Retail Apparel and Fashion","""type of company"""
"AACC","Financial Services","""type of company"""
"AAO","Retail","""type of company"""
"Aarna","Retail Apparel and Fashion","""type of company"""
"ABBACUS","Architecture and Planning","""type of company"""
"Abbot","Human Resources Services","""type of company"""
"ABFM","Non-profit Organizations","""type of company"""
"ABG","Legal Services","""type of company"""
"Abhibus","Travel Arrangements","""type of company"""
"ABI","Business Consulting and Services","""type of company"""
"ABJAYON","Software Development","""type of company"""
"ABM","Industrial Machinery Manufacturing","""type of company"""
"Absa","Financial Services","""type of company"""
"Acacia","IT Services and IT Consulting","""type of company"""
"Acadia","Technology, Information and Internet","""type of company"""
"ACAR","IT Services and IT Consulting","""type of company"""
"ACC","Advertising Services","""type of company"""
"ACCEDE","Technology, Information and Internet","""type of company"""
"Accelya","IT Services and IT Consulting","""type of company"""
"Accenture","IT Services and IT Consulting","""type of company"""
"AccionLabs","IT Services and IT Consulting","""type of company"""
"Acclivis","E-Learning Providers","""type of company"""
"ACES","Staffing and Recruiting","""type of company"""
"Acespritech","IT Services and IT Consulting","""type of company"""
"Aclara","Utilities","""type of company"""
"ACMA","Government Administration","""type of company"""
"ACORD","Insurance","""type of company"""
"ACS","Spectator Sports","""type of company"""
"Acthar","Human Resources Services","""type of company"""
"Acumen","IT Services and IT Consulting","""type of company"""
"Adamas","Education Administration Programs","""type of company"""
"Adams","Advertising Services","""type of company"""
"ADARA","Computers and Electronics Manufacturing","""type of company"""
"ADBC","Events Services","""type of company"""
"ADC","Telecommunications","""type of company"""
"Addictive","Advertising Services","""type of company"""
"ADDR","Technology, Information and Internet","""type of company"""
"Adeptpros","IT Services and IT Consulting","""type of company"""
"Adform","IT Services and IT Consulting","""type of company"""
"Adhyapana","E-Learning Providers","""type of company"""
"ADIDAS","Sporting Goods Manufacturing","""type of company"""
"AdiNav","IT Services and IT Consulting","""type of company"""
"ADIS","Technology, Information and Internet","""type of company"""
"AdityaInfoTech","IT Services and IT Consulting","""type of company"""
"ADNOC","Oil and Gas","""type of company"""
