,Destination,Relation,_,Source
135, Organizational Structure,Skill,,Consulatant
136, Business Psychology,Skill,,Consulatant
137,Relational Database Management System (RDBMS),Skill,,Data Scientist
138,Cloud Databases,Skill,,Data Scientist
139,Python Programming,Skill,,Data Scientist
140,SQL,Skill,,Data Scientist
141,Deep Learning,Skill,,Data Scientist
142,Machine Learning,Skill,,Data Scientist
143,Big Data,Skill,,Data Scientist
144,Data Mining,Skill,,Data Scientist
145,Github,Skill,,Data Scientist
146,Jupyter notebooks,Skill,,Data Scientist
147,Rstudio,Skill,,Data Scientist
148,R Programming,Skill,,Data Scientist
149,Linear Regression,Skill,,Data Scientist
150,Statistical Hypothesis Testing,Skill,,Data Scientist
151,Statistics,Skill,,Data Scientist
152,Linear Algebra,Skill,,Data Scientist
153,Confidence Interval,Skill,,Data Scientist
154,Biostatistics,Skill,,Data Scientist
155,Manage Azure resources for machine learning,Skill,,Data Scientist
156,Deploy and operationalize machine learning solutions,Skill,,Data Scientist
157,Run experiments and train models,Skill,,Data Scientist
158,Implement responsible machine learning,Skill,,Data Scientist
159,Machine Learning,Skill,,Data Scientist
160,Supervised Learning,Skill,,Data Scientist
161,Regression Analysis,Skill,,Data Scientist
162,Use the Azure Machine Learning SDK to train a model,Skill,,Data Scientist
163,Select models and protect sensitive data,Skill,,Data Scientist
164,Orchestrate pipelines and deploy real-time machine learning services with Azure Machine Learning,Skill,,Data Scientist
165,Business Intelligence,Skill,,DB Consultant
166,Data Warehousing,Skill,,DB Consultant
167,Database (DBMS),Skill,,DB Consultant
168,NoSQL,Skill,,DB Consultant
169,Database (DB) Design,Skill,,DB Consultant
170,Entity,Skill,,DB Consultant
171,Relational Database,Skill,,DB Consultant
172,SQL,Skill,,DB Consultant
173,Business Intelligence,Skill,,DB Consultant
174,Data Warehousing,Skill,,DB Consultant
175,Database (DBMS),Skill,,DB Consultant
176,NoSQL,Skill,,DB Consultant
177,Database (DB) Design,Skill,,DB Consultant
178,Entity,Skill,,DB Consultant
179,Relational Database,Skill,,DB Consultant
180,SQL,Skill,,DB Consultant
181,Expected Return,Skill,,DB Consultant
182,Sap Hana,Skill,,DB Consultant
183,Document Warehouse,Skill,,DB Consultant
184,Super Column,Skill,,DB Consultant
185,Machine Learning,Skill,,Deployer
186,Tensorflow,Skill,,Deployer
187,advanced deployment,Skill,,Deployer
188,Object Detection,Skill,,Deployer
189,JavaScript,Skill,,Deployer
190,Convolutional Neural Network,Skill,,Deployer
191,TensorFlow.js,Skill,,Deployer
192,TensorFlow Lite,Skill,,Deployer
193,Mathematical Optimization,Skill,,Deployer
194,Artificial Neural Network,Skill,,Deployer
195,"Extraction, Transformation And Loading (ETL)",Skill,,Deployer
196,Data Pipelines,Skill,,Deployer
197,Debugging,Skill,,DevOps
198,Encryption Algorithms and Techniques,Skill,,DevOps
199,Customer Service,Skill,,DevOps
200,Network Protocols,Skill,,DevOps
201,Cloud Computing,Skill,,DevOps
202,Binary Code,Skill,,DevOps
203, Agile Software Development,Skill,,DevOps
204, Algorithms,Skill,,DevOps
205, Application Development,Skill,,DevOps
206, BlockChain,Skill,,DevOps
207, Cloud Computing,Skill,,DevOps
208, Cloud Infrastructure,Skill,,DevOps
209, Cloud Platforms,Skill,,DevOps
210, Cloud Storage,Skill,,DevOps
211, Collaboration,Skill,,DevOps
212, Communication,Skill,,DevOps
213, Computational Logic,Skill,,DevOps
214, Computer Architecture,Skill,,DevOps
215, Computer Graphics,Skill,,DevOps
216, Computer Networking,Skill,,DevOps
217, Computer Programming,Skill,,DevOps
218, Computer Programming Tools,Skill,,DevOps
219, Continuous Delivery,Skill,,DevOps
220, Continuous Integration,Skill,,DevOps
221, Data Management,Skill,,DevOps
222, Design and Product,Skill,,DevOps
223, DevOps,Skill,,DevOps
224, Distributed Computing Architecture,Skill,,DevOps
225, Entrepreneurship,Skill,,DevOps
226, Extract,Skill,,DevOps
227, Transform,Skill,,DevOps
228, Load,Skill,,DevOps
229, Finance,Skill,,DevOps
230, Full-Stack Web Development,Skill,,DevOps
231, Human Computer Interaction,Skill,,DevOps
232, IBM Cloud,Skill,,DevOps
233, Interactive Design,Skill,,DevOps
234, Journalism,Skill,,DevOps
235, Kubernetes,Skill,,DevOps
236, Leadership and Management,Skill,,DevOps
237, Mathematical Theory & Analysis,Skill,,DevOps
238, Mathematics,Skill,,DevOps
239, Network Architecture,Skill,,DevOps
240, Network Security,Skill,,DevOps
241, Operating Systems,Skill,,DevOps
242, Planning,Skill,,DevOps
243, Product Design,Skill,,DevOps
244, Product Development,Skill,,DevOps
245, Programming Principles,Skill,,DevOps
246, Project Management,Skill,,DevOps
247, Python Programming,Skill,,DevOps
248, Security Engineering,Skill,,DevOps
249, Software Architecture,Skill,,DevOps
250, Software As A Service,Skill,,DevOps
251, Software Engineering,Skill,,DevOps
252, Software Engineering Tools,Skill,,DevOps
253, Software Framework,Skill,,DevOps
254, Software Testing,Skill,,DevOps
255, Statistical Programming,Skill,,DevOps
256, Strategy and Operations,Skill,,DevOps
257, Supply Chain and Logistics,Skill,,DevOps
258, System Programming,Skill,,DevOps
259, Systems Design,Skill,,DevOps
260, Theoretical Computer Science,Skill,,DevOps
261, Web Development,Skill,,DevOps
262, Amazon Web Services,Skill,,DevOps
263, Cloud Computing,Skill,,DevOps
264, Cloud Infrastructure,Skill,,DevOps
265, Cloud Load Balancing,Skill,,DevOps
266, Computer Networking,Skill,,DevOps
267, Continuous Delivery,Skill,,DevOps
268, Continuous Integration,Skill,,DevOps
269, Databases,Skill,,DevOps
270, DevOps,Skill,,DevOps
271, Devops Tools,Skill,,DevOps
272, Network Security,Skill,,DevOps
273, Security Engineering,Skill,,DevOps
274, Agile Software Development,Skill,,DevOps
275, BlockChain,Skill,,DevOps
276, Cloud Computing,Skill,,DevOps
277, Cloud Infrastructure,Skill,,DevOps
278, Cloud Platforms,Skill,,DevOps
279, Cloud Storage,Skill,,DevOps
280, Collaboration,Skill,,DevOps
281, Communication,Skill,,DevOps
282, Computer Architecture,Skill,,DevOps
283, Computer Graphics,Skill,,DevOps
284, Computer Networking,Skill,,DevOps
285, Computer Programming,Skill,,DevOps
286, Continuous Delivery,Skill,,DevOps
287, Continuous Integration,Skill,,DevOps
288, Design and Product,Skill,,DevOps
289, DevOps,Skill,,DevOps
290, Entrepreneurship,Skill,,DevOps
291, Finance,Skill,,DevOps
292, Human Computer Interaction,Skill,,DevOps
293, IBM Cloud,Skill,,DevOps
294, Interactive Design,Skill,,DevOps
295, Leadership and Management,Skill,,DevOps
296, Network Architecture,Skill,,DevOps
297, Network Security,Skill,,DevOps
298, Operating Systems,Skill,,DevOps
299, Planning,Skill,,DevOps
300, Product Design,Skill,,DevOps
301, Product Development,Skill,,DevOps
302, Project Management,Skill,,DevOps
303, Security,Skill,,DevOps
304, Security Engineering,Skill,,DevOps
305, Software Architecture,Skill,,DevOps
306, Software As A Service,Skill,,DevOps
307, Software Engineering,Skill,,DevOps
308, Software Framework,Skill,,DevOps
309, Software Testing,Skill,,DevOps
310, Strategy and Operations,Skill,,DevOps
311, Supply Chain and Logistics,Skill,,DevOps
312, System Programming,Skill,,DevOps
313, Theoretical Computer Science,Skill,,DevOps
314, Accounting,Skill,,Engineer
315, Communication,Skill,,Engineer
316, Cost,Skill,,Engineer
317, Entrepreneurship,Skill,,Engineer
318, Estimation,Skill,,Engineer
319, Finance,Skill,,Engineer
320, Generally Accepted Accounting Principles (GAAP),Skill,,Engineer
321, Human Resources,Skill,,Engineer
322, Leadership Development,Skill,,Engineer
323, Leadership and Management,Skill,,Engineer
324, Planning,Skill,,Engineer
325, Probability & Statistics,Skill,,Engineer
326, Procurement,Skill,,Engineer
327, Project,Skill,,Engineer
328, Project Management,Skill,,Engineer
329, Project Planning,Skill,,Engineer
330, Risk,Skill,,Engineer
331, Risk Management,Skill,,Engineer
332, Schedule,Skill,,Engineer
333, Statistical Tests,Skill,,Engineer
334, Strategy and Operations,Skill,,Engineer
335, Supply Chain and Logistics,Skill,,Engineer
336,Software Development,Skill,,Engineer
337, Time Management,Skill,,Engineer
338,Cascading Style Sheets (CSS),Skill,,Front End Developer
339,HTML,Skill,,Front End Developer
