,Destination,Relation,_,Source
569, Project,Skill,,Manager
570, Project Management,Skill,,Manager
571, Public Relations,Skill,,Manager
572, Research and Design,Skill,,Manager
573, Risk,Skill,,Manager
574, Risk Management,Skill,,Manager
575, Sales,Skill,,Manager
576, Software,Skill,,Manager
577, Software Engineering,Skill,,Manager
578, Software Engineering Tools,Skill,,Manager
579, Software Testing,Skill,,Manager
580, Spreadsheet Software,Skill,,Manager
581, Statistical Tests,Skill,,Manager
582, Storytelling,Skill,,Manager
583, Strategy,Skill,,Manager
584, Strategy and Operations,Skill,,Manager
585, Supply Chain Systems,Skill,,Manager
586, Supply Chain and Logistics,Skill,,Manager
587, User Experience,Skill,,Manager
588, Vendor Management,Skill,,Manager
589, Writing,Skill,,Manager
590, Business Psychology,Skill,,Manager
591, Collaboration,Skill,,Manager
592, Communication,Skill,,Manager
593, Conflict Management,Skill,,Manager
594, Employment,Skill,,Manager
595, Entrepreneurship,Skill,,Manager
596, Human Resources,Skill,,Manager
597, Influencing,Skill,,Manager
598, Leadership,Skill,,Manager
599, Leadership Development,Skill,,Manager
600, Leadership and Management,Skill,,Manager
601, Marketing,Skill,,Manager
602, Motivation,Skill,,Manager
603, People Development,Skill,,Manager
604, Performance,Skill,,Manager
605, Performance Management,Skill,,Manager
606, Recruitment,Skill,,Manager
607, Sales,Skill,,Manager
608, Strategy,Skill,,Manager
609, Strategy and Operations,Skill,,Manager
610, Talent Management,Skill,,Manager
611, Team Management,Skill,,Manager
612, Entrepreneurship,Skill,,Manager
613, Strategy and Operations,Skill,,Manager
614, Human Resources,Skill,,Manager
615, Supply Chain and Logistics,Skill,,Manager
616, Sales,Skill,,Manager
617, Leadership and Management,Skill,,Manager
618, Project Management,Skill,,Manager
619, Conflict Management,Skill,,Manager
620, Performance Management,Skill,,Manager
621, Leadership,Skill,,Manager
622,Market Analysis,Skill,,Marketing manager
623,Marketing,Skill,,Marketing manager
624,Marketing Strategy,Skill,,Marketing manager
625,Marketing Mix,Skill,,Marketing manager
626, Application Development,Skill,,Mean Stack Developer
627, Back-End Web Development,Skill,,Mean Stack Developer
628, BlockChain,Skill,,Mean Stack Developer
629, Cloud Applications,Skill,,Mean Stack Developer
630, Cloud Computing,Skill,,Mean Stack Developer
631, Cloud Foundry,Skill,,Mean Stack Developer
632, Cloud Infrastructure,Skill,,Mean Stack Developer
633, Cloud Platforms,Skill,,Mean Stack Developer
634, Cloud Storage,Skill,,Mean Stack Developer
635, Computational Logic,Skill,,Mean Stack Developer
636, Computer Architecture,Skill,,Mean Stack Developer
637, Computer Graphics,Skill,,Mean Stack Developer
638, Computer Networking,Skill,,Mean Stack Developer
639, Computer Programming,Skill,,Mean Stack Developer
640, Computer Programming Tools,Skill,,Mean Stack Developer
641, Continuous Delivery,Skill,,Mean Stack Developer
642, Continuous Integration,Skill,,Mean Stack Developer
643, Data Management,Skill,,Mean Stack Developer
644, Database Administration,Skill,,Mean Stack Developer
645, Database Application,Skill,,Mean Stack Developer
646, Database Design,Skill,,Mean Stack Developer
647, Databases,Skill,,Mean Stack Developer
648, DevOps,Skill,,Mean Stack Developer
649, Devops Tools,Skill,,Mean Stack Developer
650, Distributed Computing Architecture,Skill,,Mean Stack Developer
651, Extract,Skill,,Mean Stack Developer
652, Transform,Skill,,Mean Stack Developer
653, Load,Skill,,Mean Stack Developer
654, Finance,Skill,,Mean Stack Developer
655, Front-End Web Development,Skill,,Mean Stack Developer
656, Full-Stack Web Development,Skill,,Mean Stack Developer
657, Github,Skill,,Mean Stack Developer
658, HTML and CSS,Skill,,Mean Stack Developer
659, Human Computer Interaction,Skill,,Mean Stack Developer
660, IBM Cloud,Skill,,Mean Stack Developer
661, Interactive Design,Skill,,Mean Stack Developer
662, Javascript,Skill,,Mean Stack Developer
663, Kubernetes,Skill,,Mean Stack Developer
664, Mathematical Theory & Analysis,Skill,,Mean Stack Developer
665, Mathematics,Skill,,Mean Stack Developer
666, Network Architecture,Skill,,Mean Stack Developer
667, Network Security,Skill,,Mean Stack Developer
668, NoSQL,Skill,,Mean Stack Developer
669, Operating Systems,Skill,,Mean Stack Developer
670, Other Web Frameworks,Skill,,Mean Stack Developer
671, Python Programming,Skill,,Mean Stack Developer
672, React (web framework),Skill,,Mean Stack Developer
673, SQL,Skill,,Mean Stack Developer
674, Security Engineering,Skill,,Mean Stack Developer
675, Software,Skill,,Mean Stack Developer
676, Software Architecture,Skill,,Mean Stack Developer
677, Software As A Service,Skill,,Mean Stack Developer
678, Software Engineering,Skill,,Mean Stack Developer
679, Software Framework,Skill,,Mean Stack Developer
680, Software Testing,Skill,,Mean Stack Developer
681, Statistical Programming,Skill,,Mean Stack Developer
682, System Programming,Skill,,Mean Stack Developer
683, Systems Design,Skill,,Mean Stack Developer
684, Theoretical Computer Science,Skill,,Mean Stack Developer
685, Web Design,Skill,,Mean Stack Developer
686, Web Development,Skill,,Mean Stack Developer
687, Web Development Tools,Skill,,Mean Stack Developer
688, Application Development,Skill,,Mean Stack Developer
689, Authentication,Skill,,Mean Stack Developer
690, Cloud Computing,Skill,,Mean Stack Developer
691, Computer Programming,Skill,,Mean Stack Developer
692, Computer Programming Tools,Skill,,Mean Stack Developer
693, Databases,Skill,,Mean Stack Developer
694, Distributed Computing Architecture,Skill,,Mean Stack Developer
695, Front-End Web Development,Skill,,Mean Stack Developer
696, Github,Skill,,Mean Stack Developer
697, Human Computer Interaction,Skill,,Mean Stack Developer
698, Javascript,Skill,,Mean Stack Developer
699, Mobile Development,Skill,,Mean Stack Developer
700, Mongodb,Skill,,Mean Stack Developer
701, NoSQL,Skill,,Mean Stack Developer
702, Operating Systems,Skill,,Mean Stack Developer
703, Programming Principles,Skill,,Mean Stack Developer
704, React (web framework),Skill,,Mean Stack Developer
705, Security Engineering,Skill,,Mean Stack Developer
706, Software Architecture,Skill,,Mean Stack Developer
707, Software As A Service,Skill,,Mean Stack Developer
708, Software Engineering,Skill,,Mean Stack Developer
709, Software Engineering Tools,Skill,,Mean Stack Developer
710, Software Security,Skill,,Mean Stack Developer
711, System Security,Skill,,Mean Stack Developer
712, Theoretical Computer Science,Skill,,Mean Stack Developer
713, User Experience,Skill,,Mean Stack Developer
714, Web Design,Skill,,Mean Stack Developer
715, Web Development,Skill,,Mean Stack Developer
716, Angular,Skill,,Mean Stack Developer
717, Application Development,Skill,,Mean Stack Developer
718, Cloud Computing,Skill,,Mean Stack Developer
719, Computer Programming,Skill,,Mean Stack Developer
720, Computer Programming Tools,Skill,,Mean Stack Developer
721, Databases,Skill,,Mean Stack Developer
722, Distributed Computing Architecture,Skill,,Mean Stack Developer
723, Human Computer Interaction,Skill,,Mean Stack Developer
724, Javascript,Skill,,Mean Stack Developer
725, Mobile Development,Skill,,Mean Stack Developer
726, Mongodb,Skill,,Mean Stack Developer
727, NoSQL,Skill,,Mean Stack Developer
728, Operating Systems,Skill,,Mean Stack Developer
729, Other Programming Languages,Skill,,Mean Stack Developer
730, Programming Principles,Skill,,Mean Stack Developer
731, Security Engineering,Skill,,Mean Stack Developer
732, Software Architecture,Skill,,Mean Stack Developer
733, Software As A Service,Skill,,Mean Stack Developer
734, Software Engineering,Skill,,Mean Stack Developer
735, Software Engineering Tools,Skill,,Mean Stack Developer
736, Software Security,Skill,,Mean Stack Developer
737, System Security,Skill,,Mean Stack Developer
738, Theoretical Computer Science,Skill,,Mean Stack Developer
739, User Experience,Skill,,Mean Stack Developer
740, Web Design,Skill,,Mean Stack Developer
741, Web Development,Skill,,Mean Stack Developer
742,ExpressJS,Skill,,Mean Stack Developer
743,Node.js,Skill,,Mean Stack Developer
744,Process Management,Skill,,Operations manager
745,Operations Management,Skill,,Operations manager
746,Six Sigma,Skill,,Operations manager
747,Inventory,Skill,,Operations manager
748,Organizational Culture,Skill,,Program Manager
749,Career Development,Skill,,Program Manager
750,Strategic Thinking,Skill,,Program Manager
751,Change Management,Skill,,Program Manager
752,Project Management,Skill,,Program Manager
753,Stakeholder Management,Skill,,Program Manager
754,Business Writing,Skill,,Program Manager
755,Project Charter,Skill,,Program Manager
756,Project Planning,Skill,,Program Manager
757,Risk Management,Skill,,Program Manager
758,Task Estimation,Skill,,Program Manager
759,Procurement,Skill,,Program Manager
760,Using Version Control,Skill,,Programmer Analyst
761,Troubleshooting & Debugging,Skill,,Programmer Analyst
762,Python Programming,Skill,,Programmer Analyst
763,Configuration Management,Skill,,Programmer Analyst
764,Automation,Skill,,Programmer Analyst
765,Basic Python Data Structures,Skill,,Programmer Analyst
766,Research and analytic skills,Skill,,Programmer Analyst
767,Working knowledge of database management tools,Skill,,Programmer Analyst
768,Excellent problem-solving and critical thinking skills,Skill,,Programmer Analyst
769,Project management and organisational skills,Skill,,Programmer Analyst
770,market analysis,Skill,,Programmer Analyst
771,statistics,Skill,,Programmer Analyst
772,Organizational Culture,Skill,,Project engineer
773,Career Development,Skill,,Project engineer
774,Strategic Thinking,Skill,,Project engineer
775,Change Management,Skill,,Project engineer
776,Project Management,Skill,,Project engineer
777,Stakeholder Management,Skill,,Project engineer
778, Agile Software Development,Skill,,Project Engineer
779, Application Development,Skill,,Project Engineer
780, Budget Management,Skill,,Project Engineer
781, Business Analysis,Skill,,Project Engineer
782, Business Process Management,Skill,,Project Engineer
783, Business Psychology,Skill,,Project Engineer
784, Change Management,Skill,,Project Engineer
785, Communication,Skill,,Project Engineer
786, Culture,Skill,,Project Engineer
787, Data Analysis,Skill,,Project Engineer
788, Data Visualization,Skill,,Project Engineer
789, Design and Product,Skill,,Project Engineer
790, Entrepreneurship,Skill,,Project Engineer
791, Finance,Skill,,Project Engineer
792, Human Resources,Skill,,Project Engineer
793, Leadership Development,Skill,,Project Engineer
794, Leadership and Management,Skill,,Project Engineer
795, Marketing,Skill,,Project Engineer
796, Operations Management,Skill,,Project Engineer
797, Operations Research,Skill,,Project Engineer
798, Organizational Development,Skill,,Project Engineer
799, Planning,Skill,,Project Engineer
800, Probability & Statistics,Skill,,Project Engineer
801, Procurement,Skill,,Project Engineer
802, Product Design,Skill,,Project Engineer
803, Project,Skill,,Project Engineer
804, Public Relations,Skill,,Project Engineer
805, Research and Design,Skill,,Project Engineer
806, Risk,Skill,,Project Engineer
807, Risk Management,Skill,,Project Engineer
808, Sales,Skill,,Project Engineer
809, Software,Skill,,Project Engineer
810, Software Engineering,Skill,,Project Engineer
811, Software Engineering Tools,Skill,,Project Engineer
812, Software Testing,Skill,,Project Engineer
813, Spreadsheet Software,Skill,,Project Engineer
814, Statistical Tests,Skill,,Project Engineer
815, Storytelling,Skill,,Project Engineer
816, Strategy,Skill,,Project Engineer
817, Strategy and Operations,Skill,,Project Engineer
818, Supply Chain Systems,Skill,,Project Engineer
819, Supply Chain and Logistics,Skill,,Project Engineer
820, User Experience,Skill,,Project Engineer
821, Vendor Management,Skill,,Project Engineer
822, Writing,Skill,,Project Engineer
823, Human Resources,Skill,,Project Engineer
824, Supply Chain and Logistics,Skill,,Project Engineer
825, Organizational Development,Skill,,Project Engineer
826, Software Engineering,Skill,,Project Engineer
827, Agile Management,Skill,,Project Engineer
828, Planning,Skill,,Project Engineer
829, Operations Management,Skill,,Project Engineer
830, Sales,Skill,,Project Engineer
831, Strategy and Operations,Skill,,Project Engineer
832, Culture,Skill,,Project Engineer
833, Leadership and Management,Skill,,Project Engineer
834, Business Process Management,Skill,,Project Engineer
835, Communication,Skill,,Project Engineer
836, Project Management,Skill,,Project Engineer
837, Project,Skill,,Project Engineer
838, Software Engineering Tools,Skill,,Project Engineer
839, Entrepreneurship,Skill,,Project Engineer
840, Change Management,Skill,,Project Engineer
841, Leadership,Skill,,Project Engineer
842, Organizational Structure,Skill,,Project Engineer
843, Business Psychology,Skill,,Project Engineer
844, Budget Management,Skill,,Project Engineer
845, Change Management,Skill,,Project Engineer
846, Communication,Skill,,Project Engineer
847, Conflict Management,Skill,,Project Engineer
848, Cost,Skill,,Project Engineer
849, Entrepreneurship,Skill,,Project Engineer
850, Finance,Skill,,Project Engineer
851, Human Resources,Skill,,Project Engineer
852, Leadership and Management,Skill,,Project Engineer
853, Operations Research,Skill,,Project Engineer
854, Planning,Skill,,Project Engineer
855, Probability & Statistics,Skill,,Project Engineer
856, Project Management,Skill,,Project Engineer
857, Research and Design,Skill,,Project Engineer
858, Risk,Skill,,Project Engineer
859, Risk Management,Skill,,Project Engineer
860, Schedule,Skill,,Project Engineer
861, Statistical Tests,Skill,,Project Engineer
862, Strategy and Operations,Skill,,Project Engineer
863, Supply Chain and Logistics,Skill,,Project Engineer
864, Agile Software Development,Skill,,Project Lead
865, Application Development,Skill,,Project Lead
866, Budget Management,Skill,,Project Lead
867, Business Analysis,Skill,,Project Lead
868, Business Process Management,Skill,,Project Lead
869, Business Psychology,Skill,,Project Lead
870, Change Management,Skill,,Project Lead
871, Communication,Skill,,Project Lead
872, Culture,Skill,,Project Lead
873, Data Analysis,Skill,,Project Lead
874, Data Visualization,Skill,,Project Lead
875, Design and Product,Skill,,Project Lead
876, Entrepreneurship,Skill,,Project Lead
877, Finance,Skill,,Project Lead
878, Human Resources,Skill,,Project Lead
879, Leadership Development,Skill,,Project Lead
880, Leadership and Management,Skill,,Project Lead
881, Marketing,Skill,,Project Lead
882, Operations Management,Skill,,Project Lead
883, Operations Research,Skill,,Project Lead
884, Organizational Development,Skill,,Project Lead
885, Planning,Skill,,Project Lead
886, Probability & Statistics,Skill,,Project Lead
887, Procurement,Skill,,Project Lead
888, Product Design,Skill,,Project Lead
889, Project,Skill,,Project Lead
890, Project Management,Skill,,Project Lead
891, Public Relations,Skill,,Project Lead
892, Research and Design,Skill,,Project Lead
893, Risk,Skill,,Project Lead
894, Risk Management,Skill,,Project Lead
895, Sales,Skill,,Project Lead
896, Software,Skill,,Project Lead
897, Software Engineering,Skill,,Project Lead
898, Software Engineering Tools,Skill,,Project Lead
899, Software Testing,Skill,,Project Lead
900, Spreadsheet Software,Skill,,Project Lead
901, Statistical Tests,Skill,,Project Lead
902, Storytelling,Skill,,Project Lead
903, Strategy,Skill,,Project Lead
904, Strategy and Operations,Skill,,Project Lead
905, Supply Chain Systems,Skill,,Project Lead
906, Supply Chain and Logistics,Skill,,Project Lead
907, User Experience,Skill,,Project Lead
908, Vendor Management,Skill,,Project Lead
909, Writing,Skill,,Project Lead
910, Human Resources,Skill,,Project Lead
911, Supply Chain and Logistics,Skill,,Project Lead
912, Organizational Development,Skill,,Project Lead
913, Software Engineering,Skill,,Project Lead
914, Agile Management,Skill,,Project Lead
915, Planning,Skill,,Project Lead
916, Operations Management,Skill,,Project Lead
917, Sales,Skill,,Project Lead
918, Strategy and Operations,Skill,,Project Lead
919, Culture,Skill,,Project Lead
920, Leadership and Management,Skill,,Project Lead
921, Business Process Management,Skill,,Project Lead
922, Communication,Skill,,Project Lead
923, Project Management,Skill,,Project Lead
924, Project,Skill,,Project Lead
925, Software Engineering Tools,Skill,,Project Lead
926, Entrepreneurship,Skill,,Project Lead
927, Change Management,Skill,,Project Lead
928, Leadership,Skill,,Project Lead
929, Organizational Structure,Skill,,Project Lead
930, Business Psychology,Skill,,Project Lead
931, Budget Management,Skill,,Project Lead
932, Change Management,Skill,,Project Lead
933, Communication,Skill,,Project Lead
934, Conflict Management,Skill,,Project Lead
935, Cost,Skill,,Project Lead
936, Entrepreneurship,Skill,,Project Lead
937, Finance,Skill,,Project Lead
938, Human Resources,Skill,,Project Lead
939, Leadership and Management,Skill,,Project Lead
940, Operations Research,Skill,,Project Lead
941, Planning,Skill,,Project Lead
942, Probability & Statistics,Skill,,Project Lead
943, Project Management,Skill,,Project Lead
944, Research and Design,Skill,,Project Lead
945, Risk,Skill,,Project Lead
946, Risk Management,Skill,,Project Lead
947, Schedule,Skill,,Project Lead
948, Statistical Tests,Skill,,Project Lead
949, Strategy and Operations,Skill,,Project Lead
950, Supply Chain and Logistics,Skill,,Project Lead
951, Agile Software Development,Skill,,Project Leader
952, Application Development,Skill,,Project Leader
953, Budget Management,Skill,,Project Leader
954, Business Analysis,Skill,,Project Leader
955, Business Process Management,Skill,,Project Leader
956, Business Psychology,Skill,,Project Leader
957, Change Management,Skill,,Project Leader
958, Communication,Skill,,Project Leader
959, Culture,Skill,,Project Leader
960, Data Analysis,Skill,,Project Leader
961, Data Visualization,Skill,,Project Leader
962, Design and Product,Skill,,Project Leader
963, Entrepreneurship,Skill,,Project Leader
964, Finance,Skill,,Project Leader
965, Human Resources,Skill,,Project Leader
966, Leadership Development,Skill,,Project Leader
967, Leadership and Management,Skill,,Project Leader
968, Marketing,Skill,,Project Leader
969, Operations Management,Skill,,Project Leader
970, Operations Research,Skill,,Project Leader
971, Organizational Development,Skill,,Project Leader
972, Planning,Skill,,Project Leader
973, Probability & Statistics,Skill,,Project Leader
974, Procurement,Skill,,Project Leader
975, Product Design,Skill,,Project Leader
976, Project,Skill,,Project Leader
977, Project Management,Skill,,Project Leader
978, Public Relations,Skill,,Project Leader
979, Research and Design,Skill,,Project Leader
980, Risk,Skill,,Project Leader
981, Risk Management,Skill,,Project Leader
982, Sales,Skill,,Project Leader
983, Software,Skill,,Project Leader
984, Software Engineering,Skill,,Project Leader
985, Software Engineering Tools,Skill,,Project Leader
986, Software Testing,Skill,,Project Leader
987, Spreadsheet Software,Skill,,Project Leader
988, Statistical Tests,Skill,,Project Leader
989, Storytelling,Skill,,Project Leader
990, Strategy,Skill,,Project Leader
991, Strategy and Operations,Skill,,Project Leader
992, Supply Chain Systems,Skill,,Project Leader
993, Supply Chain and Logistics,Skill,,Project Leader
994, User Experience,Skill,,Project Leader
995, Vendor Management,Skill,,Project Leader
996, Writing,Skill,,Project Leader
997, Human Resources,Skill,,Project Leader
998, Supply Chain and Logistics,Skill,,Project Leader
999, Organizational Development,Skill,,Project Leader
1000, Software Engineering,Skill,,Project Leader
1001, Agile Management,Skill,,Project Leader
1002, Planning,Skill,,Project Leader
1003, Operations Management,Skill,,Project Leader
1004, Sales,Skill,,Project Leader
1005, Strategy and Operations,Skill,,Project Leader
1006, Culture,Skill,,Project Leader
1007, Leadership and Management,Skill,,Project Leader
1008, Business Process Management,Skill,,Project Leader
1009, Communication,Skill,,Project Leader
1010, Project Management,Skill,,Project Leader
1011, Project,Skill,,Project Leader
1012, Software Engineering Tools,Skill,,Project Leader
1013, Entrepreneurship,Skill,,Project Leader
1014, Change Management,Skill,,Project Leader
1015, Leadership,Skill,,Project Leader
1016, Organizational Structure,Skill,,Project Leader
1017, Business Psychology,Skill,,Project Leader
1018, Budget Management,Skill,,Project Leader
1019, Change Management,Skill,,Project Leader
1020, Communication,Skill,,Project Leader
1021, Conflict Management,Skill,,Project Leader
1022, Cost,Skill,,Project Leader
1023, Entrepreneurship,Skill,,Project Leader
1024, Finance,Skill,,Project Leader
1025, Human Resources,Skill,,Project Leader
1026, Leadership and Management,Skill,,Project Leader
1027, Operations Research,Skill,,Project Leader
1028, Planning,Skill,,Project Leader
1029, Probability & Statistics,Skill,,Project Leader
1030, Project Management,Skill,,Project Leader
1031, Research and Design,Skill,,Project Leader
1032, Risk,Skill,,Project Leader
1033, Risk Management,Skill,,Project Leader
1034, Schedule,Skill,,Project Leader
1035, Statistical Tests,Skill,,Project Leader
1036, Strategy and Operations,Skill,,Project Leader
1037, Supply Chain and Logistics,Skill,,Project Leader
1038, Agile Software Development,Skill,,Project Leader
1039, Application Development,Skill,,Project Leader
1040, Budget Management,Skill,,Project Leader
1041, Business Analysis,Skill,,Project Leader
1042, Business Process Management,Skill,,Project Leader
1043, Business Psychology,Skill,,Project Leader
1044, Change Management,Skill,,Project Leader
1045, Communication,Skill,,Project Leader
1046, Culture,Skill,,Project Leader
1047, Data Analysis,Skill,,Project Leader
1048, Data Visualization,Skill,,Project Leader
1049, Design and Product,Skill,,Project Leader
1050, Entrepreneurship,Skill,,Project Leader
1051, Finance,Skill,,Project Leader
1052, Human Resources,Skill,,Project Leader
1053, Leadership Development,Skill,,Project Leader
1054, Leadership and Management,Skill,,Project Leader
1055, Marketing,Skill,,Project Leader
1056, Operations Management,Skill,,Project Leader
1057, Operations Research,Skill,,Project Leader
1058, Organizational Development,Skill,,Project Leader
1059, Planning,Skill,,Project Leader
1060, Probability & Statistics,Skill,,Project Leader
1061, Procurement,Skill,,Project Leader
1062, Product Design,Skill,,Project Leader
1063, Project,Skill,,Project Leader
1064, Project Management,Skill,,Project Leader
1065, Public Relations,Skill,,Project Leader
1066, Research and Design,Skill,,Project Leader
1067, Risk,Skill,,Project Leader
1068, Risk Management,Skill,,Project Leader
1069, Sales,Skill,,Project Leader
1070, Software,Skill,,Project Leader
1071, Software Engineering,Skill,,Project Leader
1072, Software Engineering Tools,Skill,,Project Leader
1073, Software Testing,Skill,,Project Leader
1074, Spreadsheet Software,Skill,,Project Leader
1075, Statistical Tests,Skill,,Project Leader
1076, Storytelling,Skill,,Project Leader
1077, Strategy,Skill,,Project Leader
1078, Strategy and Operations,Skill,,Project Leader
1079, Supply Chain Systems,Skill,,Project Leader
1080, Supply Chain and Logistics,Skill,,Project Leader
1081, User Experience,Skill,,Project Leader
1082, Vendor Management,Skill,,Project Leader
1083, Writing,Skill,,Project Leader
1084, Human Resources,Skill,,Project Leader
1085, Supply Chain and Logistics,Skill,,Project Leader
1086, Organizational Development,Skill,,Project Leader
1087, Software Engineering,Skill,,Project Leader
1088, Agile Management,Skill,,Project Leader
1089, Planning,Skill,,Project Leader
1090, Operations Management,Skill,,Project Leader
1091, Sales,Skill,,Project Leader
1092, Strategy and Operations,Skill,,Project Leader
1093, Culture,Skill,,Project Leader
1094, Leadership and Management,Skill,,Project Leader
1095, Business Process Management,Skill,,Project Leader
1096, Communication,Skill,,Project Leader
1097, Project Management,Skill,,Project Leader
1098, Project,Skill,,Project Leader
1099, Software Engineering Tools,Skill,,Project Leader
1100, Entrepreneurship,Skill,,Project Leader
1101, Change Management,Skill,,Project Leader
1102, Leadership,Skill,,Project Leader
1103, Organizational Structure,Skill,,Project Leader
1104, Business Psychology,Skill,,Project Leader
1105, Budget Management,Skill,,Project Leader
1106, Change Management,Skill,,Project Leader
1107, Communication,Skill,,Project Leader
1108, Conflict Management,Skill,,Project Leader
1109, Cost,Skill,,Project Leader
1110, Entrepreneurship,Skill,,Project Leader
1111, Finance,Skill,,Project Leader
1112, Human Resources,Skill,,Project Leader
1113, Leadership and Management,Skill,,Project Leader
1114, Operations Research,Skill,,Project Leader
1115, Planning,Skill,,Project Leader
1116, Probability & Statistics,Skill,,Project Leader
1117, Project Management,Skill,,Project Leader
1118, Research and Design,Skill,,Project Leader
1119, Risk,Skill,,Project Leader
1120, Risk Management,Skill,,Project Leader
1121, Schedule,Skill,,Project Leader
1122, Statistical Tests,Skill,,Project Leader
1123, Strategy and Operations,Skill,,Project Leader
1124, Supply Chain and Logistics,Skill,,Project Leader
1125,Organizational Culture,Skill,,Project Manager
1126,Career Development,Skill,,Project Manager
1127,Strategic Thinking,Skill,,Project Manager
1128,Change Management,Skill,,Project Manager
1129,Project Management,Skill,,Project Manager
1130,Stakeholder Management,Skill,,Project Manager
1131,Business Writing,Skill,,Project Manager
1132,Project Charter,Skill,,Project Manager
1133,Project Planning,Skill,,Project Manager
1134,Risk Management,Skill,,Project Manager
1135,Task Estimation,Skill,,Project Manager
1136,Procurement,Skill,,Project Manager
1137, Communication,Skill,,QA
1138, Computer Programming,Skill,,QA
1139, Computer Programming Tools,Skill,,QA
1140, Java Programming,Skill,,QA
1141, Journalism,Skill,,QA
1142, Mobile Development,Skill,,QA
1143, Programming Principles,Skill,,QA
1144, Software,Skill,,QA
1145, Software Engineering,Skill,,QA
1146, Software Testing,Skill,,QA
1147, Unit Testing,Skill,,QA
1148, .Properties,Skill,,QA
1149, Communication,Skill,,QA
1150, Computer Programming,Skill,,QA
1151, Computer Programming Tools,Skill,,QA
1152, Java Programming,Skill,,QA
1153, Journalism,Skill,,QA
1154, Mobile Development,Skill,,QA
1155, Programming Principles,Skill,,QA
1156, Software,Skill,,QA
1157, Software Engineering,Skill,,QA
1158, Software Testing,Skill,,QA
1159, Unit Testing,Skill,,QA
1160, Analysis,Skill,,QA
1161, Business Analysis,Skill,,QA
1162, Business Psychology,Skill,,QA
1163, Correlation And Dependence,Skill,,QA
1164, Data Analysis,Skill,,QA
1165, Entrepreneurship,Skill,,QA
1166, Estimation,Skill,,QA
1167, General Statistics,Skill,,QA
1168, Leadership and Management,Skill,,QA
1169, Mathematics,Skill,,QA
1170, Measurement,Skill,,QA
1171, Organizational Development,Skill,,QA
1172, Probability,Skill,,QA
1173, Probability & Statistics,Skill,,QA
1174, Process,Skill,,QA
1175, Project,Skill,,QA
1176, Project Management,Skill,,QA
1177, Regression,Skill,,QA
1178, Software Engineering,Skill,,QA
1179, Software Testing,Skill,,QA
1180, Statistical Analysis,Skill,,QA
1181, Strategy and Operations,Skill,,QA
1182, Trigonometric Integral,Skill,,QA
1183,Spreadsheet,Skill,,Report analyst
1184,Data Cleansing,Skill,,Report analyst
1185,Data Analysis,Skill,,Report analyst
1186,Data Visualization (DataViz),Skill,,Report analyst
1187,SQL,Skill,,Report analyst
1188,Questioning,Skill,,Report analyst
1189,Decision-Making,Skill,,Report analyst
1190,Problem Solving,Skill,,Report analyst
1191,Metadata,Skill,,Report analyst
1192, Business Analysis,Skill,,Senior Analyst
1193, Strategy and Operations,Skill,,Senior Analyst
1194, Entrepreneurship,Skill,,Senior Analyst
1195, Business Process Management,Skill,,Senior Analyst
1196, Analysis,Skill,,Senior Analyst
1197, Process,Skill,,Senior Analyst
1198, Business Process,Skill,,Senior Analyst
1199, Process Analysis,Skill,,Senior Analyst
1200, Algorithms,Skill,,Senior Analyst
1201, Application Development,Skill,,Senior Analyst
1202, Bias,Skill,,Senior Analyst
1203, Big Data,Skill,,Senior Analyst
1204, Budget Management,Skill,,Senior Analyst
1205, Business Analysis,Skill,,Senior Analyst
1206, Business Communication,Skill,,Senior Analyst
1207, Change Management,Skill,,Senior Analyst
1208, Cloud Computing,Skill,,Senior Analyst
1209, Communication,Skill,,Senior Analyst
1210, Computational Logic,Skill,,Senior Analyst
1211, Computer Architecture,Skill,,Senior Analyst
1212, Computer Networking,Skill,,Senior Analyst
1213, Computer Programming,Skill,,Senior Analyst
1214, Computer Programming Tools,Skill,,Senior Analyst
1215, Cryptography,Skill,,Senior Analyst
1216, Data Analysis,Skill,,Senior Analyst
1217, Data Analysis Software,Skill,,Senior Analyst
1218, Data Management,Skill,,Senior Analyst
1219, Data Mining,Skill,,Senior Analyst
1220, Data Model,Skill,,Senior Analyst
1221, Data Structures,Skill,,Senior Analyst
1222, Data Visualization,Skill,,Senior Analyst
1223, Data Visualization Software,Skill,,Senior Analyst
1224, Database Administration,Skill,,Senior Analyst
1225, Database Design,Skill,,Senior Analyst
1226, Databases,Skill,,Senior Analyst
1227, Decision Making,Skill,,Senior Analyst
1228, Design and Product,Skill,,Senior Analyst
1229, Distributed Computing Architecture,Skill,,Senior Analyst
1230, Entrepreneurship,Skill,,Senior Analyst
1231, Extract,Skill,,Senior Analyst
1232, Transform,Skill,,Senior Analyst
1233, Load,Skill,,Senior Analyst
1234, Feature Engineering,Skill,,Senior Analyst
1235, Finance,Skill,,Senior Analyst
1236, Financial Analysis,Skill,,Senior Analyst
1237, Full-Stack Web Development,Skill,,Senior Analyst
1238, General Statistics,Skill,,Senior Analyst
1239, Interactive Data Visualization,Skill,,Senior Analyst
1240, Leadership and Management,Skill,,Senior Analyst
1241, Machine Learning,Skill,,Senior Analyst
1242, Mathematical Theory & Analysis,Skill,,Senior Analyst
1243, Mathematics,Skill,,Senior Analyst
1244, Network Security,Skill,,Senior Analyst
1245, Other Programming Languages,Skill,,Senior Analyst
1246, Plot (Graphics),Skill,,Senior Analyst
1247, Privacy,Skill,,Senior Analyst
