,source,target
291,UC Irvine ," University of California, Irvine"
292,UCA , University of Central Arkansas
293,UCCS , University of Colorado Colorado Springs
294,UCD ," University of California, Davis, University of Colorado Denver"
295,UCF , University of Central Florida (was Florida Tech)
296,UCI ," University of California, Irvine"
297,UCLA ," University of California, Los Angeles"
298,UCM , University of Central Missouri
299,UCO , University of Central Oklahoma
300,UConn , University of Connecticut
301,UCR ," University of California, Riverside"
302,UCSB ," University of California, Santa Barbara"
303,UCSD ," University of California, San Diego"
304,UCSF ," University of California, San Francisco"
305,UD ," University of Dallas, University of Dayton, University of Delaware"
306,UDM , University of Detroit Mercy
307,UDC , University of the District of Columbia
308,U Dub , University of Washington
309,UF , University of Florida
310,UGA , University of Georgia
311,UH ," University of Hawaiʻi at Mānoa, University of Hawaii system, University of Houston"
312,U of H , University of Houston
313,UHS , University of Houston System
314,UIC , University of Illinois at Chicago
315,UK , University of Kentucky
316,ULM , University of Louisiana at Monroe
317,UL , University of Louisiana (at Lafayette)
318,U of L , University of Louisville
319,U of M ," University of Memphis, University of Miami, University of Michigan, University of Minnesota, Twin Cities, University of Montana"
320,UMass , University of Massachusetts Amherst
321,UMB ," University of Maryland, Baltimore, University of Massachusetts Boston"
322,UMBC ," University of Maryland, Baltimore County"
323,UMGC , University of Maryland Global Campus
324,UMich , University of Michigan
325,UML , University of Massachusetts Lowell
326,UMO , University of Maine at Orono
327,UMW , University of Mary Washington
328,UNA , University of North Alabama
329,UNC ," University of North Carolina at Chapel Hill, University of Northern Colorado"
330,UNCC , University of North Carolina at Charlotte
331,UNCG , University of North Carolina at Greensboro
332,UNCW , University of North Carolina at Wilmington
333,UND , University of North Dakota
334,UNF , University of North Florida
335,UNH ," University of New Hampshire, University of New Haven"
336,UNI , University of Northern Iowa (was Iowa Teachers)
337,Union , Union College
338,UNK , University of Nebraska at Kearney
339,UNLV ," University of Nevada, Las Vegas (formerly Nevada Southern)"
340,UNM , University of New Mexico
341,UNO ," University of Nebraska at Omaha, University of New Orleans"
342,UNR ," University of Nevada, Reno"
343,UNT , University of North Texas
344,UO , University of Oregon
345,UOP , University of the Pacific
346,UoPeople - University of the People,
347,UP , University of Portland
348,UPenn , University of Pennsylvania
349,UPIKE , University of Pikeville
350,UR or U of R ," University of Richmond, University of Rochester"
351,URI , University of Rhode Island
352,U of S , University of Scranton
353,USA , University of South Alabama
354,USAFA , United States Air Force Academy
355,USAO , University of Science and Arts of Oklahoma
356,USC ," University of Southern California, University of South Carolina"
357,USCA , University of South Carolina Aiken
358,USD ," University of San Diego, University of South Dakota"
359,USF ," University of San Francisco, University of South Florida"
360,USFCA , University of San Francisco
361,USI , University of Southern Indiana
362,USM ," University of Southern Maine, The University of Southern Mississippi"
363,USU , Utah State University
364,UT ," University of Tampa, University of Tennessee, University of Texas at Austin, University of Toledo"
365,UTA , University of Texas at Arlington
366,Utah , University of Utah
367,UTB/TSC , University of Texas at Brownsville and Texas Southmost College
368,UTC , University of Tennessee at Chattanooga
369,UTD , University of Texas at Dallas
370,UTEP , University of Texas at El Paso (was Texas Western)
371,UTHSCT - University of Texas Health Science Center at Tyler,
372,UTM , University of Tennessee at Martin
373,UTPB , University of Texas Permian Basin
374,UTRGV , University of Texas Rio Grande Valley
375,UTSA , University of Texas at San Antonio
376,UVA , University of Virginia
377,UVM , University of Vermont
378,UVU , Utah Valley University
379,UWF , University of West Florida
380,UWG , University of West Georgia
381,Valpo , Valparaiso University
382,Vandy , Vanderbilt University
383,VCU , Virginia Commonwealth University
384,Virginia Tech , Virginia Polytechnic Institute and State University
385,VMI , Virginia Military Institute
386,VPI ," Virginia Polytechnic Institute and State University (An abbreviation of the university official name, though not actively used by the university)"
387,VSU ," Valdosta State University, Virginia State University"
388,VT or VPI , Virginia Polytechnic Institute and State University
389,VTC , Vermont Technical College
390,VU ," Valparaiso University, Vanderbilt University, Villanova University, Vincennes University, Vanguard University"
391,W&J , Washington & Jefferson College
392,W&L , Washington and Lee University
393,W&M , The College of William & Mary
394,Wash U or WUSTL , Washington University in St. Louis
395,Wazzu , Washington State University
396,WC ," Wagner College, Wilmington College"
397,WCU ," Western Carolina University, West Chester University"
398,West Point , U.S. Military Academy
399,Western , Western Washington University
400,WFU , Wake Forest University
401,WGU , Western Governors University
402,Williams , Williams College
403,WIU , Western Illinois University
404,WKU , Western Kentucky University
405,WMU , Western Michigan University
406,WPI , Worcester Polytechnic Institute
407,WSU ," Washington State University, Wichita State University, Wright State University"
408,WSSU - Winston-Salem State University,
409,WTAMU , West Texas A&M University
410,WU - Winthrop University,
411,WVU , West Virginia University
412,WVUP , West Virginia University at Parkersburg (WVU Parkersburg)
413,WWU , Western Washington University
414,XU , Xavier University (Cincinnati)
415,XULA , Xavier University of Louisiana
416,The Y , Brigham Young University
417,YSU , Youngstown State University
418,YU , Yeshiva University
