,source,target
432,Sovereign,head_of_state
433,Sovereign,ruler
434,Shivchya,None
435,Ho,metallic_element
436,Tuscun,None
437,1406,None
438,phata,None
439,Rajamma,None
440,Ambadkar,None
441,Adora,None
442,Mangalbhairav,None
443,Khandoba,None
444,Bachraj,None
445,Athai,None
446,Balawala,None
447,Daigaon,None
448,Sehwas,None
449,Suncity,None
450,bldg,None
451,SNO,None
452,Vasahat,None
453,Khatushyamji,None
454,SapthagiriLayout,None
455,sanmitra,None
456,Feet,vertebrate_foot
457,takis,None
458,Sairam,None
459,KK,None
460,Rm,None
461,Mehsana,None
462,KPS,enlisted_person
463,Viratnagar,None
464,Vihar,None
465,Sai,None
466,BK,metallic_element
467,JambhulWadi,None
468,Derawal,None
469,Saahu,None
470,Anna,indian_monetary_unit
471,Anna,pakistani_monetary_unit
472,RadhaKrushna,None
473,Manikbandh,None
474,Shivsagar,None
475,GHODBUNDER,None
476,Presidency,tenure
477,Arunoday,None
478,TalwadePune,None
479,Anaikara,None
480,KASARVADAVLI,None
481,Rambaug,None
482,Kalpadruma,None
483,Sarrthi,None
484,Chankai,None
485,FlatNo,None
486,VMaks,None
487,Thotavari,None
488,Udyog,None
489,Kilbil,None
490,Resort,hotel
491,Crossings,travel
492,HillTop,peak
493,Dudulgaon,None
494,Matoshree,None
495,KVSC,None
496,Yantra,None
497,Goodwill,intangible
498,ManjunathaNilaya,None
499,appts,None
500,Singasandra,None
501,Anandshree,None
502,Vrunda,None
503,SantRavidasChowk,None
504,Modinagar,None
505,bhondwe,None
506,Vari,None
507,Shaninagar,None
508,Dattai,None
509,Rajahmundry,None
510,Door,movable_barrier
511,madir,None
512,Venkatachala,None
513,Caves,geological_formation
514,Railway,line
515,KM,metric_linear_unit
516,Shayona,None
517,KOL,None
518,Kamptee,None
519,Sonepat,None
520,Village,community
521,Sravya,None
522,Sec,time_unit
523,Firdaus,None
524,Sno,None
525,NO,negative
526,Upaj,None
527,Vittasandra,None
528,Bhavani,None
529,Palms,area
530,Seawoods,None
531,Residences,address
532,Naringe,None
533,QTR,None
534,Rly,None
535,Moshi,None
536,Hosapalya,None
537,WCL,None
538,Sunway,None
539,ESTATE,property
540,Infocity,None
541,Shivsevak,None
542,Miftah,None
543,Jeppu,None
544,Poomagal,None
545,Ashtavinayak,None
546,Madipakkam,None
547,Harur,None
548,Balawadi,None
549,Flat,plain
550,kyam,None
551,Sunlight,light
552,Prestige,standing
553,naka,None
554,Kuseswar,None
555,Solitaire,jewel
556,Kath,None
557,Ulhasnagar,None
558,Soundarya,None
559,Mill,plant
560,Kalat,None
561,Panand,None
562,Apartment,housing
563,Turpu,None
564,Gurudwara,None
565,Royale,None
566,Madambakkam,None
567,Aumkar,None
568,Mirage,optical_illusion
569,Vidyalya,None
570,Shriniwas,None
571,Ashirwad,None
572,Marigold,flower
573,lakshami,None
574,Maidagin,None
575,Ethos,attribute
576,Gillani,None
577,Annex,addition
578,Bldg,None
579,Mahalaxminagar,None
580,Pipalaroad,None
581,Chinchwadenagar,None
582,TEJSINH,None
583,Maratha,indian
584,club,baseball_team
585,Hivarkar,None
586,mig,None
587,Banglow,None
588,Praga,None
589,VIHANG,None
590,Chimakurthy,None
591,Cinema,medium
592,Khana,None
593,Sahwas,None
594,Street,thoroughfare
595,Kalprang,None
596,Jabalpurnaka,None
597,Tank,armored_vehicle
598,Tank,military_vehicle
599,Tank,tracked_vehicle
600,POKeshri,None
601,Navecha,None
602,Dnyaneshwari,None
603,Paradise,region
604,Muhalla,None
605,Panchsheel,None
606,vasti,None
607,Geetanand,None
608,Senses,awareness
609,Muzaffernagar,None
610,opp,None
611,Gardens,plot
612,valeja,None
613,wing,organ
614,DamodarVihar,None
615,Quator,None
616,talkies,movie
617,Acres,real_property
618,Shivparvati,None
619,Bhekrai,None
620,Ideal,idea
621,Shwet,None
622,Viviana,None
623,Chakradhar,None
624,Enclave,district
625,Chaurang,None
626,Roselle,hibiscus
627,Sridham,None
628,Jagdamba,None
629,Panchratna,None
630,scociety,None
631,Samata,None
632,dhankawade,None
633,banglow,None
634,Jivdani,None
635,GulMohar,None
636,Skyvillas,None
637,Clara,None
638,Udaya,None
639,Villey,None
640,Sukhad,None
641,Bliss,elation
642,Petrofills,None
643,Ventila,None
644,Sambhji,None
645,enclave,district
646,Parule,None
647,Chottey,None
648,Vastu,None
649,tal,None
650,Sparkle,expression
651,Sparkle,vitality
652,GaneshGraceland,None
653,hall,corridor
654,hala,None
655,Amulyam,None
656,Mystic,believer
657,Mahatpura,None
658,Nijampur,None
659,206,None
660,Sadguru,None
661,Ramraje,None
662,211,None
663,Nadhe,None
664,simhagadh,None
665,Ridhi,None
666,279,None
667,Saptashrungi,None
668,Magarpata,None
669,Danaganj,None
670,Srishti,None
671,guusharnam,None
672,Pisoli,None
673,301,None
674,307,None
675,Pride,feeling
676,346,None
677,Pudupet,None
678,Sanarmedu,None
679,Tili,None
680,Madhukamal,None
681,Emerald,beryl
682,Emerald,transparent_gem
683,Shivtirthnagar,None
684,gardeniya,None
685,Roseland,None
686,Harivijay,None
687,lawns,field
688,mukai,None
689,401,None
690,403,None
691,404,None
692,Signal,communication
693,SONGBIRDS,oscine
694,Belena,None
695,Kutesukhvastu,None
696,Souvenir,object
697,Keshnand,None
698,Sahyadri,None
699,Chouparakhurd,None
700,Bhame,None
701,Tapodham,None
702,Shubhas,None
703,Punyai,None
704,Waghadi,None
705,Samarha,None
706,Micasa,None
707,Circle,ellipse
708,602,None
709,603,None
710,604,None
711,607,None
712,622,None
713,Colony,body
714,canal,channel
715,Lavasa,None
716,Vighnesh,None
717,Baner,None
718,Casabella,None
719,Hatkeshwar,None
720,Eternity,time
721,Thodampatty,None
722,Marava,None
723,704,None
724,788,None
725,Marbia,None
726,Sainathnagar,None
727,Castle,mansion
728,Sambhajinaga,None
729,Kapurbawadi,None
730,KaspateVasti,None
731,Park,tract
732,804,None
733,Building,structure
734,Rosewoods,wood
735,Leisure,time_off
736,Topaz,quartz
737,5209,None
738,Shivba,None
739,Chindi,None
740,Rhno,None
741,Pallod,None
742,Green,chromatic_color
743,Japline,None
744,Ramdevara,None
745,Nityanad,None
746,Mukai,None
747,Pethenagar,None
748,kingdom,sphere
749,902,None
750,Toba,None
751,Edifice,structure
752,Tingre,None
753,enclaves,district
754,nanai,None
755,Kunj,None
756,Amalner,None
757,Hilltop,peak
758,Awalwadi,None
759,Gini,None
760,Coriathains,None
761,Dawamandi,None
762,SKYI,None
763,Tinsel,decoration
764,Audumber,None
765,Rokadia,None
766,Aurum,None
767,Parande,None
768,Hridaypur,None
769,Krishi,None
770,Canal,channel
771,Swatantrya,None
772,Pachinampatty,None
773,Delicia,None
774,Stead,function
775,Manikbaug,None
776,NCTET,None
777,Sidhharth,None
778,Gananjay,None
779,Walhekarawadi,None
780,Shivray,None
781,Pahede,None
782,Karyalaya,None
783,Megapolis,None
784,Vishrant,None
785,Tadipatri,None
786,Bundi,None
787,Gurukrupa,None
788,Colonnade,structure
789,Khandeshwar,None
790,Asawari,None
791,Bhairavnath,None
792,Excluzee,None
793,Mathoshri,None
794,hills,natural_elevation
795,Apartments,housing
796,Bawdi,None
797,Kalyaninagar,None
798,Ratnadeep,None
799,Sonsajai,None
800,Utkarsha,None
801,Seagull,larid
802,Santkrupa,None
803,yatri,None
804,group,abstraction
805,JASMINIUM,None
806,Plavan,None
807,Rakhakali,None
808,Shrawandhara,None
809,Nagras,None
810,Mahakali,None
811,Ashiyana,None
812,Bishops,priest
813,Shivsena,None
814,Narasimha,None
815,Citrine,quartz
816,Citrine,transparent_gem
817,Nadbramha,None
818,Entrada,None
819,Mangalwara,None
820,Risod,None
821,brindavanam,None
822,Pashan,None
823,Ekkaduthangal,None
824,Triveninagar,None
825,aftermarket,None
826,Amrakoot,None
827,Gavthan,None
828,Rushiraj,None
829,Elan,eagerness
830,Palacharla,None
831,GREEN,chromatic_color
832,Velachery,None
833,Panagal,None
834,Srikalahasthi,None
835,Mangalnath,None
836,Gokuldham,None
837,Kalabhavan,None
838,Shivdham,None
839,Nideban,None
840,Ashokapuram,None
841,Kovil,None
842,Godwa,None
843,DarbarAprtment,None
844,VarishtaHottel,None
845,Doddenkundi,None
846,Visava,None
847,Hingane,None
848,Hulesh,None
849,MIG,None
850,Nalinottam,None
851,Resisdency,None
852,Navle,None
853,Sentosa,None
854,Pranayraj,None
855,Ranvade,None
856,Hights,None
857,Shivswaraj,None
858,Shubharambh,None
859,chaitraban,None
860,Rambha,None
861,koparkhairne,None
862,Maheshnagar,None
863,Scociety,None
864,Shikshak,None
865,UCIL,None
866,Jaduguda,None
867,Singhbhum,None
868,Raghukul,None
869,shrinathji,None
870,jarvari,None
871,Shankarkalat,None
872,Thanhwa,None
873,Takkar,None
874,SBilanpura,None
875,Kasturinagari,None
876,GhatarPanjri,None
877,Besa,None
878,Sangria,drink
879,Licorice,herb
880,Nisrag,None
881,Maxima,extremum
882,Maxima,large_indefinite_quantity
883,Jammer,transmitter
884,Vyanketesh,None
885,Lakshminarayan,None
886,Iscon,None
887,Shivranjani,None
888,IFFCO,None
889,Elina,None
890,Adajan,None
891,Venkates,None
892,Moments,point
893,554,None
894,Lonakar,None
895,Basmat,None
896,Majhetli,None
897,Nagrota,None
898,Gambers,None
899,Vaastu,None
900,Lavender,shrub
901,Raghavendr,None
902,Shantiban,None
903,Paschimanagari,None
904,Urjanagar,None
905,Gourang,None
906,Singhgad,None
907,Thiru,None
908,Mulla,muslim
909,Laheria,None
910,Sowri,None
911,Supertech,None
912,RCity,None
913,Perumpadari,None
914,AMR,None
915,Srinis,None
916,Ezhapilly,None
917,Sabza,None
918,Road,way
919,kumaharan,None
920,Lakhna,None
921,Chawl,None
922,Thirupalya,None
923,COMVIVA,None
924,Vidya,None
925,Vikas,None
926,jadhvnagar,None
927,SRA,None
928,Abakka,None
929,NOFRA,None
930,Siciliaa,None
931,Kawde,None
932,Hoodie,None
933,Janaadhar,None
934,Neeladiri,None
935,CGHS,None
936,kendra,None
937,Haran,None
938,Majestica,None
939,Ragav,None
940,Rajalakshmi,None
941,906,None
942,Bhavyas,None
943,Vanam,None
944,Ushamullppaudi,None
945,Vaibhavlaxmi,None
946,Sukhsagarnagar,None
947,Madhvnagar,None
948,Dhandekar,None
949,Omkarshree,None
950,kirtinagar,None
951,Turf,land
952,nagbhir,None
953,Pittie,None
954,Kourtyard,None
955,Gangaves,None
956,415501,None
957,KarveNagarpune,None
958,Keshavsut,None
959,JalkotRoad,None
960,Pranngan,None
961,Huzurpaga,None
962,Tanajinagar,None
963,Panchamrut,None
964,margossa,None
965,Vanasthalipuram,None
966,Hennur,None
967,MahaVishnu,None
968,BDA,None
969,Rajarajeshwari,None
970,Karunamoyee,None
971,Aicobo,None
972,VASAVI,None
973,NILAYAM,None
974,Mee,None
975,Ghat,stairway
976,Kamlu,None
977,Talab,None
978,JH,None
979,macdonuld,None
980,FLR,None
981,Cateleya,None
982,Swapnshilp,None
983,106,None
984,Sunflower,flower
985,Boradewadi,None
986,Chikhali,None
987,warjenakaKarvenagar,None
988,Dinsmore,None
989,Vantmuri,None
990,Plympia,None
991,Grevillia,None
992,Skyscape,None
993,Nadanvan,None
994,Jagnade,None
995,Garbhagiri,None
996,bakul,None
997,Sukhanand,None
998,Padmakunj,None
999,Talegaon,None
1000,Ramdayalu,None
1001,khadkoni,None
1002,NashikRoad,None
1003,Chitamani,None
1004,Haights,None
1005,Shivkrupa,None
1006,Rajshilp,None
1007,Koregaon,None
1008,Sarova,None
1009,110007,None
1010,VIJ,None
1011,smruti,None
1012,Niravi,None
1013,Meetu,None
1014,Puthiamputhur,None
1015,Ottapidaram,None
1016,Vinobaji,None
1017,Doddampalayam,None
1018,144,large_integer
1019,Sawda,None
1020,Rahiwasi,None
1021,306,None
1022,Lily,liliaceous_plant
1023,Atmosphere,condition
1024,ATBhabawadi,None
1025,Kahanapur,None
1026,jijai,None
1027,138,None
1028,Maharastra,None
1029,building,structure
1030,nagarDhankawadi,None
1031,Dharmaveer,None
1032,Maidaan,None
1033,Icchha,None
1034,Giridhar,None
1035,Buil,None
1036,Vakhar,None
1037,Sarjaai,None
1038,Ajaba,None
1039,Dadaji,None
1040,Baglan,None
1041,Walhekar,None
1042,shidhhi,None
1043,recidancy,None
1044,Falt,None
1045,Dnagat,None
1046,Isthal,None
1047,Ajinkyatara,None
1048,Ujed,None
1049,Indrayani,None
1050,Halar,None
1051,Swaminarayan,None
1052,Garbi,None
1053,Gadhi,None
1054,Bhalgat,None
1055,Heritej,None
1056,Warulwadi,None
1057,Panchashil,None
